[13:24:00] 🤖 Agent  : Welcome to Coastal Seven Consulting. How can I help you today?
[13:24:06] 👤 User   : I want to book an order.
[13:24:14] 🤖 Agent  : What would you like to order? Please provide the details, such as items, quantity, or any specific requirements.
[13:24:18] 👤 User   : TMT bars of six seven.
[13:24:26] 🤖 Agent  : I've noted your order for TMT bars size six seven. Would you like to finalize this order or add anything else?
[13:24:28] 👤 User   : That's it.
[13:24:34] 🤖 Agent  : Great, your order details have been noted as final. Thank you!
[13:24:39] 👤 User   : I want to book an appointment for tomorrow.
[13:24:43] 🤖 Agent  : Let me check the availability for you.
[13:24:51] 🤖 Agent  : I have slots available tomorrow at 9:00 AM, 10:30 AM, and 11:00 AM. Which time works for you?
[13:24:53] 👤 User   : One PM.
[13:24:59] 🤖 Agent  : Could you please provide your name, email, and optionally your phone number?
[13:25:03] 👤 User   : Chandu chandu at the rate g mail dot com.
[13:25:15] 🤖 Agent  : To confirm, you want to schedule the appointment for tomorrow at 1:00 PM with the email chandu@gmail.com. Is that correct?
[13:25:17] 👤 User   : Yes.
[13:25:23] 🤖 Agent  : One moment, I'm scheduling your appointment.
[13:25:33] 🤖 Agent  : Your appointment is confirmed for tomorrow at 1:00 PM. You'll receive a calendar invitation at chandu@gmail.com. Thanks!
